SGG_NM,CNTRCT_DE,RENT_GTN
용산구,2022-12-02,55000
용산구,2022-12-03,53707.5
용산구,2022-12-04,77500
용산구,2022-12-05,106000
용산구,2022-12-06,30760
용산구,2022-12-07,62795
용산구,2022-12-08,36124.28571
용산구,2022-12-09,43050
용산구,2022-12-10,49480
용산구,2022-12-11,51000
용산구,2022-12-12,57807.69231
용산구,2022-12-13,33500
용산구,2022-12-14,61225
용산구,2022-12-15,42666.66667
용산구,2022-12-16,67500
용산구,2022-12-17,58117.38095
용산구,2022-12-18,47350
용산구,2022-12-19,53500
용산구,2022-12-20,47664.28571
용산구,2022-12-21,79408.33333
용산구,2022-12-22,57111.11111
용산구,2022-12-23,57105.55556
용산구,2022-12-24,49500
용산구,2022-12-26,68690
용산구,2022-12-27,42166.66667
용산구,2022-12-28,44318.28571
용산구,2022-12-29,49000
용산구,2022-12-30,49115.63636
용산구,2022-12-31,62500
용산구,2023-01-01,15000
용산구,2023-01-02,20000
용산구,2023-01-03,35666.66667
용산구,2023-01-04,58157.5
용산구,2023-01-05,73850
용산구,2023-01-06,51375
용산구,2023-01-07,60955
용산구,2023-01-08,57833.33333
용산구,2023-01-09,71325
용산구,2023-01-10,47683.33333
용산구,2023-01-11,54812.5
용산구,2023-01-12,83750
용산구,2023-01-13,53783.33333
용산구,2023-01-14,55363.63636
용산구,2023-01-16,108900
용산구,2023-01-17,58000
용산구,2023-01-18,47181
용산구,2023-01-19,31560.5
용산구,2023-01-20,21000
용산구,2023-01-21,55000
용산구,2023-01-24,50000
용산구,2023-01-25,61750
용산구,2023-01-26,67880
용산구,2023-01-27,71141.66667
용산구,2023-01-28,62344.44444
용산구,2023-01-30,3593
은평구,2022-01-01,31866.66667
은평구,2022-01-02,33800
은평구,2022-01-03,45426.92308
은평구,2022-01-04,35127.27273
은평구,2022-01-05,40591.66667
은평구,2022-01-06,36805
은평구,2022-01-07,41823.6087
은평구,2022-01-08,40409.28571
은평구,2022-01-09,45287.5
은평구,2022-01-10,36754.16667
은평구,2022-01-11,38829.16667
은평구,2022-01-12,32176.09524
은평구,2022-01-13,33334.83333
은평구,2022-01-14,30673.07692
은평구,2022-01-15,37697.67442
은평구,2022-01-16,38562.5
은평구,2022-01-17,31870
은평구,2022-01-18,29700.52
은평구,2022-01-19,32484.17391
은평구,2022-01-20,33705.13043
은평구,2022-01-21,32868.80952
은평구,2022-01-22,37209.48276
은평구,2022-01-23,38972.72727
은평구,2022-01-24,31422.625
은평구,2022-01-25,31993.42857
은평구,2022-01-26,28789.47619
은평구,2022-01-27,30454.5
은평구,2022-01-28,33944
은평구,2022-01-29,39283.82353
은평구,2022-01-31,30936
은평구,2022-02-02,27900
은평구,2022-02-03,27834
은평구,2022-02-04,39521.42857
은평구,2022-02-05,37703.47222
은평구,2022-02-06,37033.33333
은평구,2022-02-07,38965.38462
은평구,2022-02-08,39384.375
은평구,2022-02-09,37267.5
은평구,2022-02-10,35500.26667
은평구,2022-02-11,37334.61538
은평구,2022-02-12,39562.77143
은평구,2022-02-13,37238.88889
은평구,2022-02-14,35638.58333
은평구,2022-02-15,37372.72727
은평구,2022-02-16,25196.5
은평구,2022-02-17,32868.90909
은평구,2022-02-18,32852.69565
은평구,2022-02-19,40323.83721
은평구,2022-02-20,39855.55556
은평구,2022-02-21,30790
은평구,2022-02-22,29478.7
은평구,2022-02-23,29260.40741
은평구,2022-02-24,34976.48
은평구,2022-02-25,30859.88
은평구,2022-02-26,37920
은평구,2022-02-27,35143.75
은평구,2022-02-28,38484.69565
은평구,2022-03-01,35943.75
은평구,2022-03-02,40990.90909
은평구,2022-03-03,32960.71429
은평구,2022-03-04,33612.5
은평구,2022-03-05,37992.95652
은평구,2022-03-06,37217.85714
은평구,2022-03-07,28658.33333
은평구,2022-03-08,21283.88889
은평구,2022-03-09,35973.94737
은평구,2022-03-10,48248.1
은평구,2022-03-11,44079.5625
은평구,2022-03-12,38263.18182
은평구,2022-03-13,36530
은평구,2022-03-14,38272.72727
은평구,2022-03-15,36528.73684
은평구,2022-03-16,34443.23529
은평구,2022-03-17,34380
은평구,2022-03-18,31510.17647
은평구,2022-03-19,35539.12903
은평구,2022-03-20,51808.33333
은평구,2022-03-21,34268.66102
은평구,2022-03-22,28530.25
은평구,2022-03-23,34246.57895
은평구,2022-03-24,33315.8
은평구,2022-03-25,40632
은평구,2022-03-26,41072.70455
은평구,2022-03-27,35875
은평구,2022-03-28,37086.83333
은평구,2022-03-29,32179.46154
은평구,2022-03-30,38405.25
은평구,2022-03-31,35990.72222
은평구,2022-04-01,40510.71429
은평구,2022-04-02,41189.70588
은평구,2022-04-03,46390
은평구,2022-04-04,32540
은평구,2022-04-05,26157.5
은평구,2022-04-06,34375.95238
은평구,2022-04-07,38796.66667
은평구,2022-04-08,33253.57143
은평구,2022-04-09,35287.5
은평구,2022-04-10,44740
은평구,2022-04-11,31482.7619
은평구,2022-04-12,32570.5
은평구,2022-04-13,39177.33333
은평구,2022-04-14,24975.4
은평구,2022-04-15,31277.96552
은평구,2022-04-16,39722.21212
은평구,2022-04-17,49800
은평구,2022-04-18,35598.52174
은평구,2022-04-19,32995.56522
은평구,2022-04-20,32264.6
은평구,2022-04-21,41477.13636
은평구,2022-04-22,33775.10345
은평구,2022-04-23,45780.88235
은평구,2022-04-24,34299.5
은평구,2022-04-25,40175.27778
은평구,2022-04-26,38170.6087
은평구,2022-04-27,31127.75
은평구,2022-04-28,30869.15789
은평구,2022-04-29,44598.13793
은평구,2022-04-30,46423.21429
은평구,2022-05-01,36333.33333
은평구,2022-05-02,34554.10526
은평구,2022-05-03,51046.42857
은평구,2022-05-04,42549
은평구,2022-05-05,35231.25
은평구,2022-05-06,42806.25
은평구,2022-05-07,40170.69444
은평구,2022-05-08,40925
은평구,2022-05-09,32584.16667
은평구,2022-05-10,34646.19048
은평구,2022-05-11,27823.1
은평구,2022-05-12,38640.22222
은평구,2022-05-13,39225.42308
은평구,2022-05-14,36622.97297
은평구,2022-05-15,47285.71429
은평구,2022-05-16,41435.54167
은평구,2022-05-17,47649.5
은평구,2022-05-18,43670.07143
은평구,2022-05-19,36593.625
은평구,2022-05-20,47753.7037
은평구,2022-05-21,45202.50877
은평구,2022-05-22,43289.3
은평구,2022-05-23,40459.71429
은평구,2022-05-24,36156.31579
은평구,2022-05-25,46864.34783
은평구,2022-05-26,42835.625
은평구,2022-05-27,47834.61538
은평구,2022-05-28,41742.75862
은평구,2022-05-29,37368.71429
은평구,2022-05-30,38500.75862
은평구,2022-05-31,40070.52381
은평구,2022-06-01,45290.73529
은평구,2022-06-02,40623.48485
은평구,2022-06-03,38585.71429
은평구,2022-06-04,38716.07143
은평구,2022-06-05,37520
은평구,2022-06-06,51031.25
은평구,2022-06-07,44370.69231
은평구,2022-06-08,48082.14286
은평구,2022-06-09,40888.66667
은평구,2022-06-10,41669.56522
은평구,2022-06-11,46779.78723
은평구,2022-06-12,37060
은평구,2022-06-13,37841.38889
은평구,2022-06-14,39410
은평구,2022-06-15,31374.3
은평구,2022-06-16,37219.07692
은평구,2022-06-17,42526.13636
은평구,2022-06-18,39523.63636
은평구,2022-06-19,45400
은평구,2022-06-20,37330.14706
은평구,2022-06-21,49593.05882
은평구,2022-06-22,37046.1875
은평구,2022-06-23,43061.47619
은평구,2022-06-24,46416.66667
은평구,2022-06-25,41642.62222
은평구,2022-06-26,35291.66667
은평구,2022-06-27,46974.48571
은평구,2022-06-28,36530.05882
은평구,2022-06-29,41850
은평구,2022-06-30,49675.875
은평구,2022-07-01,42825.71429
은평구,2022-07-02,44818.77419
은평구,2022-07-03,57625
은평구,2022-07-04,41048.07692
은평구,2022-07-05,42759.61538
은평구,2022-07-06,41021.875
은평구,2022-07-07,35940.47826
은평구,2022-07-08,37961.71429
은평구,2022-07-09,42975.92857
은평구,2022-07-10,59620
은평구,2022-07-11,31719.78947
은평구,2022-07-12,33393.84
은평구,2022-07-13,28466.12121
은평구,2022-07-14,26606.625
은평구,2022-07-15,37962.04348
은평구,2022-07-16,47938.97222
은평구,2022-07-17,36985.1
은평구,2022-07-18,20902.41667
은평구,2022-07-19,29462.82759
은평구,2022-07-20,27284.26316
은평구,2022-07-21,24872.33333
은평구,2022-07-22,25763.85714
은평구,2022-07-23,36295.45455
은평구,2022-07-24,27175
은평구,2022-07-25,36873.22222
은평구,2022-07-26,36441.27778
은평구,2022-07-27,38877.75
은평구,2022-07-28,33464.05882
은평구,2022-07-29,35266.45455
은평구,2022-07-30,44282.35294
은평구,2022-07-31,39320
은평구,2022-08-01,42632.27778
은평구,2022-08-02,42255
은평구,2022-08-03,40905.55556
은평구,2022-08-04,34571.25
은평구,2022-08-05,45231.25
은평구,2022-08-06,41700
은평구,2022-08-07,62000
은평구,2022-08-08,36027
은평구,2022-08-09,41622.5
은평구,2022-08-10,39891.11111
은평구,2022-08-11,40833.73333
은평구,2022-08-12,34948.86667
은평구,2022-08-13,38765.35714
은평구,2022-08-14,50850
은평구,2022-08-15,31150
은평구,2022-08-16,32343.88889
은평구,2022-08-17,28811.17647
은평구,2022-08-18,36170.64706
은평구,2022-08-19,35015.31818
은평구,2022-08-20,45024.84848
은평구,2022-08-21,43256.25
은평구,2022-08-22,35545.1
은평구,2022-08-23,28248.23077
은평구,2022-08-24,32331
은평구,2022-08-25,28055.44
은평구,2022-08-26,30214.875
은평구,2022-08-27,39066.19231
은평구,2022-08-28,42493.75
은평구,2022-08-29,42536.69231
은평구,2022-08-30,33587.66667
은평구,2022-08-31,35788.0625
은평구,2022-09-01,43518.71429
은평구,2022-09-02,39833.46667
은평구,2022-09-03,50099.28571
은평구,2022-09-04,35521
은평구,2022-09-05,40525
은평구,2022-09-06,33137.90909
은평구,2022-09-07,31474.72727
은평구,2022-09-08,31422.51852
은평구,2022-09-09,39333.33333
은평구,2022-09-12,23441
은평구,2022-09-13,23738.11111
은평구,2022-09-14,28696.4
은평구,2022-09-15,31430.48649
은평구,2022-09-16,32760.62963
은평구,2022-09-17,38178.84615
은평구,2022-09-18,34570
은평구,2022-09-19,34781.73077
은평구,2022-09-20,32616.3
은평구,2022-09-21,32051.88889
은평구,2022-09-22,42347.1
은평구,2022-09-23,37886.76471
은평구,2022-09-24,43274.375
은평구,2022-09-25,44300
은평구,2022-09-26,35048.8125
은평구,2022-09-27,30684.63158
은평구,2022-09-28,31886.61111
은평구,2022-09-29,37792.2
은평구,2022-09-30,32324.1875
은평구,2022-10-01,47230
은평구,2022-10-02,52500
은평구,2022-10-03,41925
은평구,2022-10-04,38220.27778
은평구,2022-10-05,28942.85714
은평구,2022-10-06,36184.28571
은평구,2022-10-07,38043.63636
은평구,2022-10-08,41473.80952
은평구,2022-10-09,63000
은평구,2022-10-10,39502.77778
은평구,2022-10-11,40579.25
은평구,2022-10-12,37663.3125
은평구,2022-10-13,33812.36842
은평구,2022-10-14,43305.46154
은평구,2022-10-15,42998.76667
은평구,2022-10-16,45188.88889
은평구,2022-10-17,38997.71429
은평구,2022-10-18,32330.45455
은평구,2022-10-19,34926.33333
은평구,2022-10-20,48412.5
은평구,2022-10-21,33862.58824
은평구,2022-10-22,38341.30435
은평구,2022-10-23,32916.66667
은평구,2022-10-24,32696.94118
은평구,2022-10-25,33658.07143
은평구,2022-10-26,41829.45455
은평구,2022-10-27,29075
